"AppellationDorigineControlee","Lait","Type","AireDeProduction","AnneeDobtentionDeLAOC","CI","Departement","Commune","Aire geographique","IDA"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94058","VAL-DE-MARNE","Perreux-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94056","VAL-DE-MARNE","Perigny","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94055","VAL-DE-MARNE","Ormesson-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94054","VAL-DE-MARNE","Orly","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94053","VAL-DE-MARNE","Noiseau","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94052","VAL-DE-MARNE","Nogent-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94048","VAL-DE-MARNE","Marolles-en-Brie","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94047","VAL-DE-MARNE","Mandres-les-Roses","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94046","VAL-DE-MARNE","Maisons-Alfort","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94044","VAL-DE-MARNE","Limeil-Brevannes","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94043","VAL-DE-MARNE","Kremlin-Bicetre","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94042","VAL-DE-MARNE","Joinville-le-Pont","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94041","VAL-DE-MARNE","Ivry-sur-Seine","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94038","VAL-DE-MARNE","Hae-les-Roses","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94037","VAL-DE-MARNE","Gentilly","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94034","VAL-DE-MARNE","Fresnes","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94033","VAL-DE-MARNE","Fontenay-sous-Bois","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94028","VAL-DE-MARNE","Creteil","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94022","VAL-DE-MARNE","Choisy-le-Roi","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94021","VAL-DE-MARNE","Chevilly-Larue","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94019","VAL-DE-MARNE","Chennevieres-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94018","VAL-DE-MARNE","Charenton-le-Pont","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94017","VAL-DE-MARNE","Champigny-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94016","VAL-DE-MARNE","Cachan","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94015","VAL-DE-MARNE","Bry-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94011","VAL-DE-MARNE","Bonneuil-sur-Marne","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94004","VAL-DE-MARNE","Boissy-Saint-Leger","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94003","VAL-DE-MARNE","Arcueil","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94002","VAL-DE-MARNE","Alfortville","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","94001","VAL-DE-MARNE","Ablon-sur-Seine","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93079","SEINE-SAINT-DENIS","Villetaneuse","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93078","SEINE-SAINT-DENIS","Villepinte","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93077","SEINE-SAINT-DENIS","Villemomble","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93074","SEINE-SAINT-DENIS","Vaujours","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93073","SEINE-SAINT-DENIS","Tremblay-en-France","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93072","SEINE-SAINT-DENIS","Stains","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93071","SEINE-SAINT-DENIS","Sevran","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93070","SEINE-SAINT-DENIS","Saint-Ouen","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93066","SEINE-SAINT-DENIS","Saint-Denis","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93064","SEINE-SAINT-DENIS","Rosny-sous-Bois","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93063","SEINE-SAINT-DENIS","Romainville","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93062","SEINE-SAINT-DENIS","Raincy","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93061","SEINE-SAINT-DENIS","Pre-Saint-Gervais","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93059","SEINE-SAINT-DENIS","Pierrefitte-sur-Seine","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93057","SEINE-SAINT-DENIS","Pavillons-sous-Bois","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93055","SEINE-SAINT-DENIS","Pantin","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","93053","SEINE-SAINT-DENIS","Noisy-le-Sec","BriedeMeaux","1459"
